task: 0| args: 5.298627| result: -0.833028
task: 1| args: 8.905225| result: 0.496492
task: 3| args: 2.932432| result: 0.207638
task: 5| args: 3.286337| result: -0.14424
task: 8| args: 9.439265| result: -0.0144867
task: 10| args: 7.795380| result: 0.998283
task: 14| args: 1.385610| result: 0.982902
task: 17| args: 7.905287| result: 0.998684
task: 21| args: 4.639731| result: -0.997362
task: 24| args: 2.254753| result: 0.775079
task: 27| args: 7.614436| result: 0.971446
task: 32| args: 2.605038| result: 0.511178
task: 35| args: 5.504293| result: -0.702491
task: 38| args: 6.935373| result: 0.606926
task: 41| args: 6.721011| result: 0.423972
task: 45| args: 3.893135| result: -0.682766
task: 48| args: 1.496173| result: 0.997217
task: 50| args: 1.413603| result: 0.987671
task: 53| args: 5.973272| result: -0.304976
task: 56| args: 6.108127| result: -0.174165
task: 58| args: 9.225363| result: 0.198096
task: 61| args: 0.129369| result: 0.129009
task: 64| args: 8.338499| result: 0.8849
task: 67| args: 7.743143| result: 0.993864
task: 69| args: 4.566313| result: -0.98935
task: 71| args: 8.747286| result: 0.626841
task: 74| args: 0.385768| result: 0.376271
task: 77| args: 5.575230| result: -0.650281
task: 80| args: 4.245856| result: -0.893133
task: 83| args: 4.837893| result: -0.992135
task: 86| args: 8.593983| result: 0.738468
task: 89| args: 5.832885| result: -0.435236
task: 92| args: 4.753613| result: -0.99915
task: 96| args: 1.563228| result: 0.999971
task: 99| args: 0.107126| result: 0.106921
task: 102| args: 5.300797| result: -0.831825
task: 105| args: 1.270213| result: 0.955164
task: 107| args: 8.202002| result: 0.94005
task: 109| args: 2.530547| result: 0.573724
task: 112| args: 7.966658| result: 0.993659
task: 115| args: 8.164092| result: 0.9523
task: 118| args: 2.595061| result: 0.519728
task: 120| args: 9.623813| result: -0.197724
task: 123| args: 8.485643| result: 0.807048
task: 126| args: 5.339075| result: -0.809975
task: 130| args: 2.669764| result: 0.454516
task: 135| args: 6.688561| result: 0.394364
task: 138| args: 2.297000| result: 0.747701
task: 140| args: 2.547286| result: 0.559935
task: 144| args: 8.407409| result: 0.850728
task: 149| args: 3.017180| result: 0.124092
task: 150| args: 9.476963| result: -0.0521613
task: 153| args: 2.130385| result: 0.847474
task: 156| args: 7.455837| result: 0.921782
task: 159| args: 8.723703| result: 0.64504
task: 163| args: 9.779152| result: -0.347003
task: 166| args: 3.870883| result: -0.66634
task: 171| args: 2.046543| result: 0.888951
task: 174| args: 6.932860| result: 0.604927
task: 179| args: 4.157072| result: -0.849733
task: 183| args: 7.228694| result: 0.810795
task: 185| args: 2.083002| result: 0.871666
task: 188| args: 4.861630| result: -0.988884
task: 190| args: 5.356255| result: -0.799781
task: 192| args: 4.475246| result: -0.972013
task: 195| args: 3.765621| result: -0.584309
task: 198| args: 9.501664| result: -0.0768099
task: 201| args: 8.392695| result: 0.858369
task: 204| args: 2.560977| result: 0.548538
task: 207| args: 2.958528| result: 0.182044
task: 210| args: 2.920650| result: 0.219149
task: 214| args: 3.022278| result: 0.119032
task: 217| args: 4.989728| result: -0.961788
task: 220| args: 6.126588| result: -0.155958
task: 223| args: 0.479894| result: 0.461686
task: 225| args: 4.944734| result: -0.973129
task: 228| args: 7.256903| result: 0.826982
task: 231| args: 1.228152| result: 0.94187
task: 233| args: 1.864815| result: 0.957087
task: 235| args: 4.466524| result: -0.969927
task: 238| args: 1.942149| result: 0.931837
task: 241| args: 1.694883| result: 0.992311
task: 244| args: 5.404451| result: -0.769932
task: 247| args: 0.192677| result: 0.191487
task: 249| args: 9.794105| result: -0.360988
task: 252| args: 7.566426| result: 0.95894
task: 255| args: 4.544502| result: -0.98594
task: 258| args: 8.567824| result: 0.755851
task: 261| args: 5.060290| result: -0.94009
task: 264| args: 5.487651| result: -0.714238
task: 268| args: 2.752267| result: 0.379565
task: 272| args: 4.221523| result: -0.881925
task: 274| args: 3.261034| result: -0.119158
task: 277| args: 7.051113| result: 0.694646
task: 281| args: 1.223653| result: 0.940348
task: 284| args: 2.074778| result: 0.875666
task: 287| args: 5.717773| result: -0.535764
task: 291| args: 5.986529| result: -0.292324
task: 293| args: 9.467384| result: -0.0425935
task: 295| args: 1.154663| result: 0.914659
