task: 4| args: 5.242403| result: 2.28963
task: 7| args: 4.283337| result: 2.06962
task: 11| args: 3.589326| result: 1.89455
task: 13| args: 4.040631| result: 2.01013
task: 16| args: 8.404871| result: 2.89912
task: 19| args: 8.113728| result: 2.84846
task: 22| args: 6.523504| result: 2.55412
task: 25| args: 1.195444| result: 1.09336
task: 29| args: 6.073650| result: 2.46448
task: 31| args: 8.167296| result: 2.85785
task: 34| args: 5.396187| result: 2.32297
task: 37| args: 7.876187| result: 2.80645
task: 40| args: 2.447051| result: 1.56431
task: 43| args: 8.250486| result: 2.87237
task: 46| args: 3.941806| result: 1.9854
task: 49| args: 4.748726| result: 2.17916
task: 52| args: 5.451126| result: 2.33476
task: 55| args: 2.006614| result: 1.41655
task: 60| args: 7.047403| result: 2.65469
task: 63| args: 4.439328| result: 2.10697
task: 66| args: 4.723617| result: 2.17339
task: 70| args: 6.284035| result: 2.5068
task: 73| args: 8.888319| result: 2.98133
task: 78| args: 9.024163| result: 3.00402
task: 81| args: 0.518847| result: 0.72031
task: 84| args: 6.913200| result: 2.6293
task: 87| args: 5.381771| result: 2.31986
task: 90| args: 9.807199| result: 3.13164
task: 93| args: 7.401378| result: 2.72055
task: 95| args: 1.255834| result: 1.12064
task: 98| args: 0.489092| result: 0.699351
task: 101| args: 5.115106| result: 2.26166
task: 104| args: 0.774480| result: 0.880045
task: 108| args: 9.467472| result: 3.07693
task: 111| args: 6.269711| result: 2.50394
task: 114| args: 5.861643| result: 2.42108
task: 117| args: 0.820890| result: 0.90603
task: 121| args: 7.970191| result: 2.82315
task: 124| args: 3.540312| result: 1.88157
task: 127| args: 5.118566| result: 2.26242
task: 129| args: 7.487626| result: 2.73635
task: 132| args: 2.120162| result: 1.45608
task: 134| args: 5.775615| result: 2.40325
task: 137| args: 0.857742| result: 0.926143
task: 141| args: 4.340922| result: 2.08349
task: 143| args: 4.178487| result: 2.04413
task: 146| args: 7.111289| result: 2.6667
task: 148| args: 7.047652| result: 2.65474
task: 151| args: 1.573742| result: 1.25449
task: 155| args: 4.490344| result: 2.11904
task: 158| args: 0.534280| result: 0.730945
task: 160| args: 8.159398| result: 2.85647
task: 162| args: 2.033907| result: 1.42615
task: 165| args: 5.292040| result: 2.30044
task: 168| args: 5.452495| result: 2.33506
task: 170| args: 5.020821| result: 2.24072
task: 173| args: 5.313302| result: 2.30506
task: 176| args: 3.324003| result: 1.82318
task: 178| args: 9.885919| result: 3.14419
task: 181| args: 0.161119| result: 0.401396
task: 184| args: 1.909004| result: 1.38167
task: 186| args: 8.599505| result: 2.93249
task: 191| args: 2.961733| result: 1.72097
task: 194| args: 1.501746| result: 1.22546
task: 197| args: 2.552185| result: 1.59756
task: 200| args: 9.416834| result: 3.06869
task: 203| args: 1.007984| result: 1.00398
task: 206| args: 5.947523| result: 2.43875
task: 209| args: 0.829701| result: 0.910879
task: 212| args: 4.595336| result: 2.14367
task: 215| args: 0.364816| result: 0.604
task: 218| args: 4.860889| result: 2.20474
task: 221| args: 5.237702| result: 2.2886
task: 224| args: 1.028683| result: 1.01424
task: 227| args: 4.184346| result: 2.04557
task: 230| args: 0.714939| result: 0.84554
task: 232| args: 3.460995| result: 1.86038
task: 234| args: 4.355907| result: 2.08708
task: 236| args: 2.551666| result: 1.59739
task: 239| args: 9.938781| result: 3.15258
task: 242| args: 0.584037| result: 0.764223
task: 245| args: 6.018225| result: 2.45321
task: 250| args: 1.065219| result: 1.03209
task: 253| args: 5.896705| result: 2.42831
task: 256| args: 5.340832| result: 2.31102
task: 259| args: 6.685592| result: 2.58565
task: 262| args: 4.466903| result: 2.1135
task: 265| args: 5.574724| result: 2.36109
task: 267| args: 3.364085| result: 1.83414
task: 270| args: 1.131113| result: 1.06354
task: 275| args: 2.635563| result: 1.62344
task: 278| args: 2.303029| result: 1.51757
task: 279| args: 5.853523| result: 2.41941
task: 282| args: 3.143222| result: 1.77291
task: 285| args: 8.881591| result: 2.9802
task: 288| args: 3.066614| result: 1.75118
task: 290| args: 9.446673| result: 3.07354
task: 296| args: 9.072959| result: 3.01214
task: 298| args: 2.522412| result: 1.58821
task: 299| args: 5.259586| result: 2.29338
