task: 2| args: 9.286919, 1.677663| result: 42.0497
task: 6| args: 2.367722, 7.270204| result: 526.576
task: 9| args: 6.234578, 7.746944| result: 1.43657e+06
task: 12| args: 1.899953, 1.907028| result: 3.40072
task: 15| args: 0.039893, 8.690395| result: 6.93772e-13
task: 18| args: 2.294534, 1.958197| result: 5.08523
task: 20| args: 4.796935, 9.774635| result: 4.53078e+06
task: 23| args: 5.216826, 2.770011| result: 97.1009
task: 26| args: 3.568565, 1.884961| result: 11.0009
task: 28| args: 8.358473, 2.064324| result: 80.0882
task: 30| args: 1.433247, 0.573412| result: 1.22924
task: 33| args: 8.910295, 7.850982| result: 2.86804e+07
task: 36| args: 9.319969, 3.184148| result: 1221.12
task: 39| args: 2.732921, 8.017403| result: 3166.76
task: 42| args: 2.187233, 2.020328| result: 4.86071
task: 44| args: 3.311681, 0.043442| result: 1.0534
task: 47| args: 6.872305, 2.689522| result: 178.404
task: 51| args: 1.509165, 2.520604| result: 2.82179
task: 54| args: 8.418679, 0.945626| result: 7.49781
task: 57| args: 6.133545, 1.695145| result: 21.6414
task: 59| args: 7.655521, 3.336232| result: 889.497
task: 62| args: 6.515694, 4.720074| result: 6949.53
task: 65| args: 2.830779, 5.208534| result: 225.823
task: 68| args: 5.123937, 7.552567| result: 228734
task: 72| args: 1.396575, 4.158985| result: 4.01162
task: 75| args: 4.431069, 3.999112| result: 385
task: 76| args: 6.716793, 7.085313| result: 725607
task: 79| args: 0.312623, 8.927203| result: 3.10416e-05
task: 82| args: 2.750364, 6.570473| result: 770.906
task: 85| args: 3.102606, 1.199948| result: 3.89087
task: 88| args: 4.072170, 7.709113| result: 50259.3
task: 91| args: 5.764036, 6.450491| result: 80734.8
task: 94| args: 9.599602, 7.699510| result: 3.65484e+07
task: 97| args: 8.168363, 7.379463| result: 5.38353e+06
task: 100| args: 1.726180, 0.057848| result: 1.03208
task: 103| args: 5.690370, 6.686383| result: 111985
task: 106| args: 3.070007, 2.376465| result: 14.377
task: 110| args: 6.075001, 2.279108| result: 61.0642
task: 113| args: 6.287858, 1.472847| result: 14.9993
task: 116| args: 6.157906, 2.345112| result: 71.0083
task: 119| args: 4.376598, 2.365015| result: 32.8321
task: 122| args: 6.794747, 4.040928| result: 2305.43
task: 125| args: 0.571710, 1.810755| result: 0.363332
task: 128| args: 6.386487, 8.771023| result: 1.15604e+07
task: 131| args: 6.452610, 0.333690| result: 1.86295
task: 133| args: 2.918607, 0.163920| result: 1.19193
task: 136| args: 2.877749, 2.964336| result: 22.9502
task: 139| args: 0.544001, 4.715254| result: 0.056661
task: 142| args: 8.397710, 9.377130| result: 4.63422e+08
task: 145| args: 9.727105, 9.529422| result: 2.59963e+09
task: 147| args: 6.480378, 2.371237| result: 84.0421
task: 152| args: 8.390653, 8.588463| result: 8.58985e+07
task: 154| args: 8.652018, 2.780629| result: 403.437
task: 157| args: 3.209556, 4.544997| result: 200.351
task: 161| args: 4.788828, 3.501804| result: 241.007
task: 164| args: 6.153090, 5.605127| result: 26483
task: 167| args: 5.997895, 0.649277| result: 3.1999
task: 169| args: 2.648143, 9.348221| result: 8989.8
task: 172| args: 6.226235, 7.704868| result: 1.31645e+06
task: 175| args: 1.885210, 3.425526| result: 8.7751
task: 177| args: 6.083457, 4.571067| result: 3840.65
task: 180| args: 7.642334, 2.188768| result: 85.7387
task: 182| args: 2.560940, 9.320613| result: 6405.21
task: 187| args: 8.663473, 4.951081| result: 43912.6
task: 189| args: 0.580542, 8.368086| result: 0.0105618
task: 193| args: 9.965396, 2.081992| result: 119.911
task: 196| args: 7.367749, 7.081026| result: 1.38554e+06
task: 199| args: 1.849317, 0.609082| result: 1.45423
task: 202| args: 3.971305, 6.094904| result: 4471.37
task: 205| args: 6.034092, 9.855255| result: 4.9332e+07
task: 208| args: 2.546608, 0.543794| result: 1.66249
task: 211| args: 6.952204, 8.572046| result: 1.65467e+07
task: 213| args: 5.002700, 7.414754| result: 152907
task: 216| args: 3.913015, 8.264425| result: 78843.6
task: 219| args: 9.591584, 3.848590| result: 6010.26
task: 222| args: 0.675675, 6.741272| result: 0.0711569
task: 226| args: 9.668891, 1.196087| result: 15.0868
task: 229| args: 4.729272, 8.706405| result: 749950
task: 237| args: 2.783383, 4.629418| result: 114.318
task: 240| args: 8.033850, 4.897085| result: 27007.7
task: 243| args: 4.005274, 1.264169| result: 5.77868
task: 246| args: 3.527688, 4.001684| result: 155.197
task: 248| args: 0.999371, 5.187845| result: 0.996739
task: 251| args: 3.287878, 4.597045| result: 237.84
task: 254| args: 4.889056, 2.004858| result: 24.0878
task: 257| args: 7.836368, 0.972760| result: 7.40899
task: 260| args: 6.506967, 6.572926| result: 221962
task: 263| args: 6.487308, 0.173809| result: 1.38403
task: 266| args: 2.769251, 5.269775| result: 214.363
task: 269| args: 8.903131, 1.160408| result: 12.6432
task: 271| args: 5.069103, 3.693891| result: 401.734
task: 273| args: 9.923326, 7.015162| result: 9.81098e+06
task: 276| args: 9.576989, 3.751320| result: 4796.27
task: 280| args: 7.426548, 6.589579| result: 547167
task: 283| args: 0.088756, 7.553540| result: 1.13547e-08
task: 286| args: 9.789728, 7.355217| result: 1.93791e+07
task: 289| args: 7.941959, 7.963126| result: 1.46635e+07
task: 292| args: 1.000924, 5.247260| result: 1.00486
task: 294| args: 2.454436, 2.781820| result: 12.1556
task: 297| args: 3.870220, 1.931997| result: 13.6617
